Number,Date,Teams,Sets,Result per set (points),Result per set (points).1,Result per set (points).2,Result per set (points).3,Result per set (points).4,Points,Time,Audience,MatchNumber,City
Number,Date,Teams,Sets,1,2,3,4,5,Points,Time,Audience,,
81,22/06/2019,CHN - JPN,0 - 3,19  - 25,20  - 25,23  - 25,-,-,62 - 75,01:27,875,81,Hoffman Estates
85,22/06/2019,FRA - POR,3 - 0,25  - 23,26  - 24,25  - 23,-,-,76 - 70,01:31,3300,85,Ardabil
83,22/06/2019,POL - SRB,3 - 2,32  - 30,21  - 25,25  - 21,19  - 25,15  - 11,112 - 112,02:18,1750,83,Milano
87,22/06/2019,BUL - RUS,0 - 3,20  - 25,20  - 25,21  - 25,-,-,61 - 75,01:20,3123,87,Cuiaba
86,22/06/2019,IRI - AUS,3 - 0,25  - 19,25  - 19,25  - 14,-,-,75 - 52,01:15,6000,86,Ardabil
82,22/06/2019,USA - CAN,1 - 3,22  - 25,25  - 22,23  - 25,17  - 25,-,87 - 97,01:51,5125,82,Hoffman Estates
88,22/06/2019,BRA - GER,3 - 2,20  - 25,25  - 18,21  - 25,25  - 17,15  - 13,106 - 98,02:17,5960,88,Cuiaba
84,22/06/2019,ITA - ARG,1 - 3,22  - 25,25  - 23,19  - 25,19  - 25,-,85 - 98,02:00,3200,84,Milano
89,23/06/2019,CAN - JPN,3 - 2,25  - 18,26  - 24,23  - 25,21  - 25,15  - 13,110 - 105,02:11,648,89,Hoffman Estates
93,23/06/2019,POR - AUS,0 - 3,23  - 25,22  - 25,25  - 27,-,-,70 - 77,01:33,3200,93,Ardabil
90,23/06/2019,USA - CHN,3 - 0,25  - 20,25  - 19,25  - 19,-,-,75 - 58,01:14,4569,90,Hoffman Estates
91,23/06/2019,ARG - SRB,3 - 0,25  - 17,25  - 23,25  - 18,-,-,75 - 58,01:18,1700,91,Milano
95,23/06/2019,GER - BUL,2 - 3,28  - 26,25  - 18,23  - 25,19  - 25,10  - 15,105 - 109,02:23,3765,95,Cuiaba
94,23/06/2019,IRI - FRA,0 - 3,18  - 25,24  - 26,21  - 25,-,-,63 - 76,01:27,6000,94,Ardabil
92,23/06/2019,ITA - POL,2 - 3,25  - 23,22  - 25,25  - 23,21  - 25,23  - 25,116 - 121,02:46,3850,92,Milano
